# CR-2144 printed p.225, PDF page 230, bottom panel, C_np (rad^-1) vs Mach, 20000 ft curve
# calibration: x px->Mach from ticks 0/0.2/0.4/0.6/0.8/1 ; y px->value from ticks 0.04/0/-0.04/-0.08
# tick fit residual: x 1.6 px, y 0.8 px (1 px = 0.00085 Mach)
# circle 5 (FC5) reads: -0.069525   [model carries: not supplied]
# circle 6 (FC6) reads: -0.02757   [model carries: not supplied]
# manual clip applied: Mach 0.39 to 0.85
# extra trace seed used to pick up a branch carrying no marker
mach,value
0.3903,-0.010446
0.3954,-0.0092853
0.4005,-0.0090156
0.4098,0.0070624
0.4149,0.00743
0.4226,-0.011693
0.4276,-0.040753
0.4327,-0.047999
0.4378,-0.054257
0.4429,-0.060393
0.4480,-0.063309
0.4531,-0.06574
0.4582,-0.068259
0.4633,-0.070886
0.4683,-0.071913
0.4734,-0.072208
0.4785,-0.071447
0.4836,-0.07041
0.4887,-0.069573
0.4938,-0.068783
0.4989,-0.067879
0.5039,-0.067023
0.5090,-0.066157
0.5141,-0.065244
0.5192,-0.064664
0.5243,-0.062812
0.5294,-0.060868
0.5345,-0.059688
0.5396,-0.057957
0.5446,-0.056587
0.5497,-0.055341
0.5548,-0.054218
0.5624,-0.052154
0.5675,-0.050194
0.5726,-0.048947
0.5777,-0.047482
0.5828,-0.046093
0.5879,-0.044476
0.5930,-0.043116
0.5980,-0.041843
0.6048,-0.040244
0.6099,-0.038169
0.6150,-0.036827
0.6201,-0.034954
0.6252,-0.033027
0.6303,-0.031975
0.6353,-0.030672
0.6404,-0.029349
0.6455,-0.02807
0.6506,-0.026814
0.6557,-0.025563
0.6608,-0.024336
0.6659,-0.023109
0.6710,-0.021995
0.6760,-0.020654
0.6811,-0.019446
0.6862,-0.0182
0.6913,-0.017067
0.6964,-0.015907
0.7015,-0.014508
0.7074,-0.013899
0.7125,-0.01232
0.7176,-0.011312
0.7227,-0.010303
0.7278,-0.0089428
0.7354,-0.0083054
0.7405,-0.0066976
0.7456,-0.0058604
0.7506,-0.0049757
0.7557,-0.004462
0.7574,-0.0043954
