# CR-2144 printed p.225, PDF page 230, bottom panel, C_np (rad^-1) vs Mach, 40000 ft curve
# calibration: x px->Mach from ticks 0/0.2/0.4/0.6/0.8/1 ; y px->value from ticks 0.04/0/-0.04/-0.08
# tick fit residual: x 1.6 px, y 0.8 px (1 px = 0.00085 Mach)
# circle 8 (FC8) reads: -0.059764   [model carries: not supplied]
# circle 10 (FC10) reads: 0.021234   [model carries: not supplied]
# manual clip applied: Mach 0.66 to -
mach,value
0.6608,-0.026338
0.6659,-0.03844
0.6710,-0.04206
0.6760,-0.041446
0.6811,-0.040252
0.6862,-0.039334
0.6913,-0.038483
0.6964,-0.037641
0.7015,-0.044243
0.7066,-0.048086
0.7116,-0.035058
0.7167,-0.034301
0.7218,-0.03344
0.7269,-0.037874
0.7320,-0.049856
0.7371,-0.036047
0.7422,-0.030101
0.7472,-0.029297
0.7523,-0.028546
0.7574,-0.038402
0.7625,-0.050917
0.7676,-0.050298
0.7727,-0.049157
0.7778,-0.047863
0.7829,-0.030258
0.7879,-0.020564
0.7930,-0.019413
0.7981,-0.018594
0.8032,-0.017928
0.8083,-0.017447
0.8134,-0.016924
0.8185,-0.015946
0.8235,-0.015055
0.8286,-0.0098133
0.8337,0.0044428
0.8388,0.0075442
0.8456,0.0077154
0.8507,0.0085621
0.8558,0.0089807
0.8608,0.0093993
0.8659,0.0094375
0.8710,0.0099031
0.8761,0.012418
0.8812,0.015143
0.8863,0.017857
0.8914,0.020321
0.8965,0.021234
0.9015,0.021529
0.9066,0.023451
0.9117,0.026148
0.9168,0.029249
0.9219,0.032317
0.9244,0.03286
