# CR-2144 printed p.226, PDF page 231, top panel, C_lr (rad^-1) vs Mach, 20000 ft curve
# calibration: x px->Mach from ticks 0/0.2/0.4/0.6/0.8/1 ; y px->value from ticks 0.3/0.2/0.1/0
# tick fit residual: x 0.9 px, y 0.7 px (1 px = 0.00085 Mach)
# circle 5 (FC5) reads: 0.21356   [model carries: not supplied]
# circle 6 (FC6) reads: 0.1359   [model carries: not supplied]
# circle 7 (FC7) reads: 0.10006   [model carries: not supplied]
mach,value
0.3902,0.28546
0.3952,0.28373
0.4003,0.28025
0.4054,0.27643
0.4105,0.27292
0.4156,0.26829
0.4207,0.26483
0.4258,0.26183
0.4309,0.2583
0.4359,0.25517
0.4444,0.24995
0.4495,0.24516
0.4546,0.24213
0.4597,0.23888
0.4665,0.23518
0.4716,0.23065
0.4766,0.22764
0.4817,0.22475
0.4868,0.22165
0.4919,0.21856
0.4970,0.21548
0.5021,0.21235
0.5072,0.20925
0.5123,0.20619
0.5173,0.20306
0.5224,0.20014
0.5275,0.1973
0.5326,0.19424
0.5377,0.19007
0.5462,0.18817
0.5513,0.18372
0.5563,0.18123
0.5614,0.1786
0.5665,0.17615
0.5716,0.17302
0.5767,0.17167
0.5818,0.1684
0.5869,0.16632
0.5920,0.16387
0.5970,0.16115
0.6038,0.15913
0.6089,0.15598
0.6140,0.15392
0.6191,0.15178
0.6242,0.14953
0.6293,0.14759
0.6344,0.14557
0.6394,0.14353
0.6445,0.14147
0.6496,0.13941
0.6547,0.13735
0.6598,0.13526
0.6649,0.1332
0.6700,0.1313
0.6751,0.12971
0.6801,0.12813
0.6852,0.12642
0.6903,0.12478
0.6954,0.12362
0.7056,0.12118
0.7107,0.11881
0.7158,0.11746
0.7208,0.11603
0.7259,0.11471
0.7310,0.11288
0.7395,0.11208
0.7446,0.11013
0.7497,0.10907
0.7548,0.1079
0.7598,0.10665
0.7649,0.10553
0.7700,0.10458
0.7751,0.10354
0.7802,0.10229
0.7853,0.10098
0.7904,0.099559
0.7955,0.098255
0.8005,0.096952
0.8056,0.095529
0.8107,0.094178
0.8158,0.092969
0.8209,0.091475
0.8260,0.089413
0.8311,0.087327
0.8362,0.084245
0.8421,0.08287
0.8472,0.079243
0.8523,0.076635
0.8574,0.074336
0.8658,0.069227
0.8709,0.064166
0.8760,0.061084
0.8811,0.058073
0.8879,0.052882
0.8930,0.047975
0.8981,0.044087
0.9031,0.041147
0.9065,0.040578
