# CR-2144 printed p.226, PDF page 231, bottom panel, C_nr (rad^-1) vs Mach, 20000 ft curve
# calibration: x px->Mach from ticks 0/0.2/0.4/0.6/0.8/1 ; y px->value from ticks 0/-0.1/-0.2/-0.3/-0.4
# tick fit residual: x 0.7 px, y 0.4 px (1 px = 0.00085 Mach)
# circle 5 (FC5) reads: -0.27651   [model carries: not supplied]
# circle 6 (FC6) reads: -0.27439   [model carries: not supplied]
# circle 7 (FC7) reads: -0.26209   [model carries: not supplied]
# manual clip applied: Mach 0.38 to -
mach,value
0.4002,-0.29402
0.4053,-0.29329
0.4104,-0.29174
0.4155,-0.29016
0.4206,-0.28879
0.4257,-0.28789
0.4308,-0.28641
0.4359,-0.2854
0.4410,-0.28441
0.4460,-0.28342
0.4596,-0.28219
0.4647,-0.28092
0.4698,-0.28033
0.4749,-0.27984
0.4800,-0.27951
0.4851,-0.27908
0.4902,-0.27863
0.4953,-0.27821
0.5003,-0.27776
0.5054,-0.27731
0.5105,-0.27687
0.5156,-0.27644
0.5207,-0.27607
0.5258,-0.27567
0.5309,-0.27545
0.5360,-0.27536
0.5411,-0.2751
0.5462,-0.27493
0.5580,-0.27475
0.5631,-0.27451
0.5682,-0.27439
0.5733,-0.2743
0.5784,-0.27418
0.5835,-0.27418
0.5979,-0.27406
0.6030,-0.27397
0.6081,-0.27397
0.6132,-0.27397
0.6183,-0.27406
0.6234,-0.27418
0.6284,-0.27418
0.6335,-0.27418
0.6386,-0.27418
0.6437,-0.27428
0.6488,-0.27456
0.6539,-0.2746
0.6590,-0.2746
0.6641,-0.2746
0.6692,-0.2746
0.6743,-0.27446
0.6793,-0.27439
0.6844,-0.27437
0.6946,-0.27411
0.6997,-0.27378
0.7048,-0.27352
0.7099,-0.27326
0.7150,-0.27277
0.7226,-0.27253
0.7277,-0.27192
0.7328,-0.27138
0.7379,-0.27083
0.7430,-0.27003
0.7498,-0.26989
0.7548,-0.26907
0.7599,-0.26855
0.7650,-0.26789
0.7701,-0.26718
0.7752,-0.26648
0.7803,-0.26567
0.7854,-0.2649
0.7905,-0.2641
0.7956,-0.26334
0.8007,-0.26252
0.8057,-0.26174
0.8108,-0.26096
0.8159,-0.26016
0.8210,-0.25938
0.8261,-0.25861
0.8312,-0.25788
0.8363,-0.25684
0.8414,-0.25623
0.8465,-0.25526
0.8516,-0.25439
0.8566,-0.25349
0.8617,-0.25206
0.8668,-0.25177
0.8719,-0.25038
0.8770,-0.24963
0.8821,-0.24869
0.8872,-0.24755
0.8931,-0.24664
0.8982,-0.24513
0.9033,-0.24437
0.9084,-0.24331
0.9135,-0.24221
0.9228,-0.24075
0.9279,-0.23917
0.9330,-0.23834
0.9381,-0.23714
0.9432,-0.23641
