# CR-2144 printed p.226, PDF page 231, bottom panel, C_nr (rad^-1) vs Mach, SL curve
# calibration: x px->Mach from ticks 0/0.2/0.4/0.6/0.8/1 ; y px->value from ticks 0/-0.1/-0.2/-0.3/-0.4
# tick fit residual: x 0.7 px, y 0.4 px (1 px = 0.00085 Mach)
# circle 3 (FC3) reads: -0.25446   [model carries: not supplied]
# circle 4 (FC4) reads: -0.24131   [model carries: not supplied]
mach,value
0.2942,-0.27036
0.2993,-0.27013
0.3044,-0.26947
0.3095,-0.26871
0.3146,-0.26791
0.3196,-0.26706
0.3247,-0.26633
0.3298,-0.26565
0.3349,-0.26494
0.3400,-0.26431
0.3451,-0.26367
0.3502,-0.26311
0.3553,-0.26247
0.3604,-0.26179
0.3655,-0.26132
0.3705,-0.26087
0.3756,-0.26033
0.3807,-0.2599
0.3858,-0.25943
0.3909,-0.25901
0.3960,-0.25856
0.4011,-0.25811
0.4062,-0.25769
0.4113,-0.25729
0.4164,-0.25679
0.4214,-0.25639
0.4265,-0.25599
0.4316,-0.25566
0.4367,-0.2554
0.4418,-0.25512
0.4469,-0.25484
0.4520,-0.25454
0.4571,-0.25427
0.4622,-0.25399
0.4673,-0.25375
0.4723,-0.25345
0.4774,-0.25307
0.4825,-0.25281
0.4876,-0.25227
0.4927,-0.25173
0.4978,-0.25132
0.5029,-0.25102
0.5080,-0.25083
0.5131,-0.25052
0.5182,-0.25008
0.5232,-0.24972
0.5283,-0.24946
0.5334,-0.24913
0.5385,-0.24878
0.5436,-0.24836
0.5487,-0.24805
0.5538,-0.24779
0.5589,-0.24753
0.5640,-0.2472
0.5691,-0.24678
0.5741,-0.24635
0.5792,-0.24612
0.5843,-0.24583
0.5894,-0.24546
0.5945,-0.24513
0.5996,-0.24477
0.6047,-0.24447
0.6098,-0.24414
0.6149,-0.24378
0.6200,-0.24343
0.6250,-0.24308
0.6301,-0.24272
0.6352,-0.24235
0.6403,-0.24195
0.6454,-0.24153
0.6505,-0.24116
0.6556,-0.24077
0.6607,-0.24034
0.6658,-0.23992
0.6709,-0.23954
0.6759,-0.23917
0.6810,-0.2386
0.6861,-0.23804
0.6912,-0.23756
0.6963,-0.23705
0.7014,-0.23641
0.7065,-0.23582
0.7116,-0.23525
0.7167,-0.23478
0.7209,-0.23457
