# CR-2144 printed p.227, PDF page 232, top panel, C_ldelta_a (rad^-1) vs Mach, 40000 ft curve
# calibration: x px->Mach from ticks 0/0.2/0.4/0.6/0.8/1 ; y px->value from ticks 0.016/0.012/0.008/0.004/0
# tick fit residual: x 0.5 px, y 0.5 px (1 px = 0.00085 Mach)
# circle 8 (FC8) reads: 0.012262   [model carries: not supplied]
# circle 10 (FC10) reads: 0.013915   [model carries: not supplied]
# manual clip applied: Mach 0.64 to -
mach,value
0.6404,0.012385
0.6455,0.012361
0.6506,0.012335
0.6557,0.012305
0.6608,0.01228
0.6659,0.012258
0.6710,0.012228
0.6761,0.012206
0.6812,0.012191
0.6863,0.012172
0.6914,0.012151
0.6965,0.01213
0.7015,0.012108
0.7066,0.01212
0.7117,0.012274
0.7168,0.012335
0.7219,0.012364
0.7270,0.012394
0.7321,0.012428
0.7372,0.012449
0.7423,0.012502
0.7474,0.012515
0.7525,0.01254
0.7576,0.012594
0.7627,0.012905
0.7678,0.01294
0.7729,0.012691
0.7780,0.012708
0.7831,0.012722
0.7882,0.012737
0.7932,0.012753
0.7983,0.012769
0.8034,0.012785
0.8085,0.012799
0.8136,0.012813
0.8187,0.012826
0.8238,0.012479
0.8289,0.01188
0.8340,0.012587
0.8391,0.01278
0.8442,0.012751
0.8493,0.011858
0.8544,0.012239
0.8595,0.012647
0.8646,0.012562
0.8697,0.01247
0.8748,0.012396
0.8799,0.012339
0.8849,0.012239
0.8900,0.012029
0.8951,0.011935
0.9002,0.012882
0.9053,0.012268
0.9104,0.011482
0.9155,0.011414
0.9206,0.011204
0.9257,0.010922
0.9308,0.010716
0.9359,0.010341
0.9410,0.010052
0.9461,0.0090448
0.9512,0.0071485
0.9563,0.0066048
