# CR-2144 printed p.227, PDF page 232, top panel, C_ldelta_a (rad^-1) vs Mach, SL curve
# calibration: x px->Mach from ticks 0/0.2/0.4/0.6/0.8/1 ; y px->value from ticks 0.016/0.012/0.008/0.004/0
# tick fit residual: x 0.5 px, y 0.5 px (1 px = 0.00085 Mach)
# circle 3 (FC3) reads: 0.012977   [model carries: not supplied]
# circle 4 (FC4) reads: 0.013676   [model carries: not supplied]
# circle 4 (FC4) reads: 0.012364   [model carries: not supplied]
# circle 4 (FC4) reads: 0.012006   [model carries: not supplied]
# manual clip applied: Mach - to 0.76
# extra trace seed used to pick up a branch carrying no marker
mach,value
0.2982,0.012665
0.3033,0.012709
0.3084,0.012806
0.3135,0.012912
0.3186,0.013004
0.3237,0.01309
0.3288,0.013166
0.3339,0.013236
0.3390,0.013301
0.3441,0.013361
0.3492,0.013412
0.3543,0.013461
0.3594,0.013507
0.3645,0.013546
0.3696,0.013578
0.3747,0.013599
0.3797,0.013613
0.3848,0.013616
0.3899,0.013598
0.3950,0.013562
0.4001,0.013522
0.4052,0.013482
0.4103,0.013439
0.4154,0.013388
0.4205,0.013331
0.4256,0.013267
0.4307,0.013208
0.4358,0.013145
0.4409,0.013081
0.4460,0.013016
0.4511,0.012953
0.4562,0.012889
0.4613,0.012825
0.4664,0.012725
0.4714,0.012662
0.4765,0.012673
0.4816,0.012711
0.4867,0.012766
0.4918,0.012803
0.4969,0.012842
0.5020,0.01288
0.5071,0.012918
0.5122,0.012956
0.5173,0.012993
0.5224,0.01301
0.5275,0.013004
0.5326,0.012991
0.5377,0.012975
0.5428,0.012944
0.5538,0.012913
0.5589,0.012867
0.5640,0.012839
0.5691,0.012809
0.5742,0.012789
0.5861,0.012728
0.5912,0.012672
0.5963,0.012644
0.6014,0.012614
0.6065,0.012564
0.6124,0.012554
0.6175,0.012508
0.6226,0.012485
0.6277,0.012459
0.6328,0.012431
0.6379,0.012404
0.6430,0.012375
0.6481,0.012348
0.6532,0.01232
0.6582,0.012291
0.6633,0.01227
0.6684,0.012245
0.6735,0.012216
0.6786,0.012197
0.6837,0.012179
0.6888,0.012159
0.6939,0.012139
0.6990,0.012119
0.7041,0.012098
0.7092,0.012077
0.7143,0.012051
0.7194,0.012037
0.7245,0.012026
0.7296,0.012022
0.7372,0.012013
0.7423,0.012
0.7474,0.011999
0.7525,0.011997
0.7576,0.011997
0.7593,0.011997
