# CR-2144 printed p.227, PDF page 232, bottom panel, C_ndelta_a (rad^-1) vs Mach, 40000 ft curve
# calibration: x px->Mach from ticks 0/0.2/0.4/0.6/0.8/1 ; y px->value from ticks 0.004/0/-0.004
# tick fit residual: x 2.3 px, y 0.6 px (1 px = 0.00085 Mach)
# circle 8 (FC8) reads: 0.00076123   [model carries: not supplied]
# circle 10 (FC10) reads: -0.0025409   [model carries: not supplied]
# manual clip applied: Mach 0.64 to -
mach,value
0.6401,0.0022345
0.6452,0.0021986
0.6503,0.0021485
0.6554,0.0021021
0.6605,0.0020548
0.6656,0.0019849
0.6707,0.0019499
0.6758,0.001895
0.6809,0.0016404
0.6859,0.0013176
0.6910,0.0010502
0.6961,0.00080338
0.7012,0.00063404
0.7063,0.00050762
0.7114,0.00042894
0.7165,0.00038257
0.7216,5.5099e-05
0.7267,5.2009e-05
0.7317,0.00067848
0.7368,0.00072529
0.7462,0.00068274
0.7513,0.00064586
0.7563,0.00062033
0.7614,0.00058818
0.7665,0.00055224
0.7716,0.00050969
0.7767,0.00047281
0.7818,0.00032629
0.7911,3.4305e-05
0.7962,-0.00014941
0.8013,-0.00017399
0.8064,-0.00011253
0.8208,-0.00011253
0.8259,-0.00014563
0.8310,-0.00020804
0.8361,-0.00033734
0.8412,-0.0005486
0.8463,-0.00072741
0.8514,-0.00082859
0.8564,-0.00085751
0.8615,-0.00090126
0.8666,-0.0011321
0.8717,-0.0013773
0.8768,-0.0015993
0.8819,-0.0017536
0.8870,-0.0019206
0.8921,-0.0020908
0.8972,-0.0022648
0.9022,-0.002452
0.9073,-0.0026135
0.9124,-0.0027497
0.9175,-0.0028966
0.9226,-0.0030871
0.9277,-0.003183
0.9328,-0.0031735
0.9379,-0.0031064
0.9430,-0.003043
0.9447,-0.0030326
