# CR-2144 printed p.228, PDF page 233, bottom panel, C_ldelta_r (rad^-1) vs Mach, 20000 ft curve
# calibration: x px->Mach from ticks 0/0.2/0.4/0.6/0.8/1 ; y px->value from ticks 0.02/0
# tick fit residual: x 1.9 px, y 0.0 px (1 px = 0.00085 Mach)
# circle 5 (FC5) reads: 0.0038257   [model carries: not supplied]
# manual clip applied: Mach 0.42 to -
mach,value
0.4608,0.00080765
0.4659,0.0010249
0.4710,0.0014169
0.4761,0.0019506
0.4812,0.0023474
0.4863,0.0027347
0.4914,0.0031314
0.4965,0.0035376
0.5016,0.0039296
0.5067,0.0043358
0.5117,0.0047467
0.5168,0.0051529
0.5219,0.0055119
0.5270,0.0058283
0.5321,0.0061353
0.5397,0.0064376
0.5448,0.0067918
0.5499,0.0069996
0.5550,0.0072122
0.5601,0.0073964
0.5694,0.0077412
0.5745,0.0080293
0.5796,0.008171
0.5847,0.0083127
0.5898,0.0084544
0.5949,0.0086763
0.6051,0.0087897
0.6102,0.0090353
0.6153,0.009125
0.6204,0.0094368
0.6254,0.0095454
0.6305,0.0094179
0.6356,0.0094793
0.6407,0.009536
0.6458,0.0096021
0.6509,0.0096682
0.6560,0.0097296
0.6611,0.009791
0.6662,0.0098524
0.6713,0.0099374
0.6764,0.0099894
0.6814,0.010055
0.6865,0.010093
0.7001,0.010112
0.7052,0.010117
0.7103,0.010107
0.7154,0.010079
0.7205,0.010051
0.7290,0.010041
0.7340,0.0099941
0.7391,0.0099705
0.7442,0.0099138
0.7578,0.0097721
0.7629,0.0096162
0.7680,0.0095171
0.7731,0.0093943
0.7782,0.0092195
0.7833,0.0090211
0.7884,0.008818
0.7934,0.0086244
0.7985,0.0084307
0.8036,0.0082277
0.8087,0.008034
0.8138,0.0077506
0.8189,0.0074672
0.8240,0.0073728
0.8291,0.0073114
0.8342,0.0070658
0.8393,0.0068768
0.8444,0.0067068
0.8494,0.0065557
0.8545,0.0063526
0.8596,0.0063101
0.8647,0.0063006
0.8698,0.0061542
0.8749,0.0059511
0.8800,0.005715
0.8851,0.0054599
0.8902,0.0052049
0.8953,0.0049498
0.9003,0.0046948
0.9054,0.0044397
0.9105,0.0041847
0.9156,0.0039391
0.9207,0.003651
0.9258,0.0033203
0.9309,0.0030181
0.9360,0.0029047
