# CR-2144 printed p.228, PDF page 233, middle panel, C_ndelta_r (rad^-1) vs Mach, 20000 ft curve
# calibration: x px->Mach from ticks 0/0.2/0.4/0.6/0.8/1 ; y px->value from ticks 0/-0.04/-0.08/-0.12
# tick fit residual: x 2.0 px, y 1.3 px (1 px = 0.00085 Mach)
# circle 5 (FC5) reads: -0.10742   [model carries: not supplied]
# circle 6 (FC6) reads: -0.10011   [model carries: not supplied]
# circle 7 (FC7) reads: -0.098237   [model carries: not supplied]
# manual clip applied: Mach 0.39 to -
mach,value
0.3908,-0.10211
0.3958,-0.10236
0.4009,-0.10274
0.4060,-0.10312
0.4111,-0.10354
0.4161,-0.10392
0.4254,-0.10442
0.4305,-0.10503
0.4356,-0.10536
0.4407,-0.10566
0.4457,-0.10606
0.4550,-0.10634
0.4601,-0.1068
0.4652,-0.10703
0.4703,-0.10727
0.4753,-0.10734
0.4804,-0.10734
0.4855,-0.10741
0.4906,-0.10751
0.4956,-0.10751
0.5007,-0.10751
0.5058,-0.10751
0.5109,-0.10756
0.5159,-0.10768
0.5210,-0.10768
0.5261,-0.10765
0.5312,-0.10748
0.5362,-0.10721
0.5413,-0.10657
0.5515,-0.10623
0.5565,-0.10541
0.5616,-0.105
0.5667,-0.10459
0.5794,-0.10373
0.5845,-0.10292
0.5895,-0.10249
0.5946,-0.10205
0.5997,-0.10151
0.6073,-0.10111
0.6124,-0.10059
0.6174,-0.10042
0.6225,-0.10036
0.6276,-0.10031
0.6327,-0.10019
0.6377,-0.10019
0.6428,-0.10019
0.6479,-0.10008
0.6530,-0.10002
0.6580,-0.10002
0.6631,-0.099966
0.6682,-0.099853
0.6733,-0.099853
0.6783,-0.099853
0.6834,-0.099872
0.6927,-0.099909
0.6978,-0.10002
0.7029,-0.10011
0.7080,-0.10023
0.7130,-0.10033
0.7232,-0.10051
0.7283,-0.10071
0.7333,-0.10084
0.7384,-0.10089
0.7435,-0.10097
0.7486,-0.101
0.7612,-0.10085
0.7663,-0.10066
0.7714,-0.10038
0.7765,-0.1
0.7815,-0.099522
0.7866,-0.099012
0.7917,-0.098558
0.7968,-0.098067
0.8018,-0.097594
0.8069,-0.097131
0.8120,-0.096631
0.8171,-0.096224
0.8221,-0.095563
0.8272,-0.094505
0.8340,-0.093163
0.8391,-0.09133
0.8441,-0.090215
0.8492,-0.089686
