# CR-2144 printed p.228, PDF page 233, top panel, C_ydelta_r (rad^-1) vs Mach, 40000 ft curve
# calibration: x px->Mach from ticks 0/0.2/0.4/0.6/0.8/1 ; y px->value from ticks 0.2/0.1/0
# tick fit residual: x 1.0 px, y 1.0 px (1 px = 0.00085 Mach)
# circle 8 (FC8) reads: 0.14089   [model carries: not supplied]
# circle 10 (FC10) reads: 0.06294   [model carries: not supplied]
# manual clip applied: Mach 0.65 to -
mach,value
0.6503,0.12808
0.6554,0.13287
0.6604,0.13821
0.6655,0.14104
0.6706,0.14265
0.6757,0.14354
0.6808,0.14298
0.6859,0.14227
0.6910,0.14153
0.6960,0.14081
0.7011,0.14009
0.7062,0.13936
0.7113,0.13862
0.7164,0.13789
0.7215,0.13713
0.7266,0.13611
0.7317,0.13495
0.7367,0.13391
0.7418,0.13249
0.7469,0.13157
0.7520,0.13017
0.7571,0.12923
0.7664,0.12662
0.7715,0.12433
0.7766,0.12288
0.7817,0.1213
0.7868,0.11955
0.7918,0.11765
0.7969,0.11581
0.8020,0.11394
0.8071,0.11209
0.8122,0.11027
0.8173,0.10852
0.8224,0.10648
0.8274,0.10398
0.8325,0.10161
0.8376,0.09929
0.8427,0.096947
0.8478,0.094368
0.8529,0.091977
0.8580,0.089256
0.8630,0.086747
0.8681,0.084073
0.8732,0.081801
0.8783,0.078796
0.8834,0.075317
0.8885,0.071767
0.8936,0.068194
0.8986,0.064656
0.9037,0.061106
0.9088,0.05752
0.9139,0.053947
0.9190,0.050444
0.9241,0.04706
0.9292,0.043132
0.9342,0.038896
0.9393,0.035559
0.9444,0.031275
0.9495,0.028151
0.9504,0.028033
