panel,curve,t_s_after_0121,value
normal_acceleration,ink_bottom,1.449,0.9631
normal_acceleration,ink_top,1.449,0.9939
normal_acceleration,ink_bottom,2.067,0.9631
normal_acceleration,ink_top,2.067,0.9939
normal_acceleration,ink_bottom,2.686,0.9631
normal_acceleration,ink_top,2.686,0.9939
normal_acceleration,ink_bottom,3.304,0.9477
normal_acceleration,ink_top,3.304,0.9785
normal_acceleration,ink_bottom,3.922,0.9477
normal_acceleration,ink_top,3.922,0.9631
normal_acceleration,ink_bottom,4.541,0.9477
normal_acceleration,ink_top,4.541,0.9785
normal_acceleration,ink_bottom,5.159,0.9631
normal_acceleration,ink_top,5.159,0.9785
normal_acceleration,ink_bottom,5.777,0.9631
normal_acceleration,ink_top,5.777,0.9785
normal_acceleration,ink_bottom,6.396,0.9477
normal_acceleration,ink_top,6.396,0.9631
normal_acceleration,ink_bottom,7.014,0.9477
normal_acceleration,ink_top,7.014,0.9631
normal_acceleration,ink_bottom,7.633,0.9477
normal_acceleration,ink_top,7.633,0.9631
normal_acceleration,ink_bottom,8.251,0.9477
normal_acceleration,ink_top,8.251,0.9785
normal_acceleration,ink_bottom,8.869,0.9477
normal_acceleration,ink_top,8.869,0.9785
normal_acceleration,ink_bottom,9.488,0.9631
normal_acceleration,ink_top,9.488,0.9785
normal_acceleration,ink_bottom,10.106,0.9631
normal_acceleration,ink_top,10.106,0.9785
normal_acceleration,ink_bottom,10.724,0.9631
normal_acceleration,ink_top,10.724,0.9785
normal_acceleration,ink_bottom,11.343,0.9631
normal_acceleration,ink_top,11.343,0.9785
normal_acceleration,ink_bottom,11.961,0.9631
normal_acceleration,ink_top,11.961,0.9785
normal_acceleration,ink_bottom,12.580,0.9631
normal_acceleration,ink_top,12.580,0.9785
normal_acceleration,ink_bottom,13.198,0.9631
normal_acceleration,ink_top,13.198,0.9631
normal_acceleration,ink_bottom,13.816,0.9477
normal_acceleration,ink_top,13.816,0.9631
normal_acceleration,ink_bottom,14.435,0.9477
normal_acceleration,ink_top,14.435,0.9785
normal_acceleration,ink_bottom,15.053,0.9631
normal_acceleration,ink_top,15.053,0.9939
normal_acceleration,ink_bottom,15.671,0.9631
normal_acceleration,ink_top,15.671,0.9939
normal_acceleration,ink_bottom,16.290,0.9785
normal_acceleration,ink_top,16.290,0.9939
normal_acceleration,ink_bottom,16.908,0.9785
normal_acceleration,ink_top,16.908,0.9939
normal_acceleration,ink_bottom,17.527,0.9631
normal_acceleration,ink_top,17.527,0.9785
normal_acceleration,ink_bottom,18.145,0.9631
normal_acceleration,ink_top,18.145,0.9785
normal_acceleration,ink_bottom,18.763,0.9631
normal_acceleration,ink_top,18.763,0.9785
normal_acceleration,ink_bottom,19.382,0.9631
normal_acceleration,ink_top,19.382,0.9785
normal_acceleration,ink_bottom,20.000,0.9631
normal_acceleration,ink_top,20.000,0.9785
normal_acceleration,ink_bottom,20.618,0.9631
normal_acceleration,ink_top,20.618,0.9785
normal_acceleration,ink_bottom,21.237,0.9631
normal_acceleration,ink_top,21.237,0.9785
normal_acceleration,ink_bottom,21.855,0.9631
normal_acceleration,ink_top,21.855,0.9785
normal_acceleration,ink_bottom,22.473,0.9631
normal_acceleration,ink_top,22.473,0.9785
normal_acceleration,ink_bottom,23.092,0.9631
normal_acceleration,ink_top,23.092,0.9785
normal_acceleration,ink_bottom,23.710,0.9477
normal_acceleration,ink_top,23.710,0.9785
normal_acceleration,ink_bottom,24.329,0.9477
normal_acceleration,ink_top,24.329,0.9785
normal_acceleration,ink_bottom,24.947,0.9631
normal_acceleration,ink_top,24.947,0.9785
normal_acceleration,ink_bottom,25.565,0.9631
normal_acceleration,ink_top,25.565,0.9785
normal_acceleration,ink_bottom,26.184,0.9631
normal_acceleration,ink_top,26.184,0.9785
normal_acceleration,ink_bottom,26.802,0.9631
normal_acceleration,ink_top,26.802,0.9785
normal_acceleration,ink_bottom,27.420,0.9631
normal_acceleration,ink_top,27.420,0.9785
normal_acceleration,ink_bottom,28.039,0.9631
normal_acceleration,ink_top,28.039,0.9785
normal_acceleration,ink_bottom,28.657,0.9477
normal_acceleration,ink_top,28.657,0.9631
normal_acceleration,ink_bottom,29.276,0.9477
normal_acceleration,ink_top,29.276,0.9631
normal_acceleration,ink_bottom,29.894,0.9477
normal_acceleration,ink_top,29.894,0.9785
normal_acceleration,ink_bottom,30.512,0.9631
normal_acceleration,ink_top,30.512,0.9785
normal_acceleration,ink_bottom,31.131,0.9631
normal_acceleration,ink_top,31.131,0.9785
normal_acceleration,ink_bottom,31.749,0.9631
normal_acceleration,ink_top,31.749,0.9785
normal_acceleration,ink_bottom,32.367,0.9631
normal_acceleration,ink_top,32.367,0.9631
normal_acceleration,ink_bottom,32.986,0.9477
normal_acceleration,ink_top,32.986,0.9631
normal_acceleration,ink_bottom,33.604,0.9631
normal_acceleration,ink_top,33.604,0.9631
normal_acceleration,ink_bottom,34.223,0.9631
normal_acceleration,ink_top,34.223,0.9631
normal_acceleration,ink_bottom,34.841,0.9477
normal_acceleration,ink_top,34.841,0.9631
normal_acceleration,ink_bottom,35.459,0.9477
normal_acceleration,ink_top,35.459,0.9631
normal_acceleration,ink_bottom,36.078,0.9477
normal_acceleration,ink_top,36.078,0.9631
normal_acceleration,ink_bottom,36.696,0.9477
normal_acceleration,ink_top,36.696,0.9631
normal_acceleration,ink_bottom,37.314,0.9477
normal_acceleration,ink_top,37.314,0.9631
normal_acceleration,ink_bottom,37.933,0.9477
normal_acceleration,ink_top,37.933,0.9631
normal_acceleration,ink_bottom,38.551,0.9631
normal_acceleration,ink_top,38.551,0.9785
normal_acceleration,ink_bottom,39.170,0.9631
normal_acceleration,ink_top,39.170,0.9785
normal_acceleration,ink_bottom,39.788,0.9631
normal_acceleration,ink_top,39.788,0.9785
normal_acceleration,ink_bottom,40.406,0.9631
normal_acceleration,ink_top,40.406,0.9785
normal_acceleration,ink_bottom,41.025,0.9631
normal_acceleration,ink_top,41.025,0.9785
normal_acceleration,ink_bottom,41.643,0.9631
normal_acceleration,ink_top,41.643,0.9785
normal_acceleration,ink_bottom,42.261,0.9631
normal_acceleration,ink_top,42.261,0.9785
normal_acceleration,ink_bottom,42.880,0.9631
normal_acceleration,ink_top,42.880,0.9785
normal_acceleration,ink_bottom,43.498,0.9631
normal_acceleration,ink_top,43.498,0.9631
normal_acceleration,ink_bottom,44.117,0.9631
normal_acceleration,ink_top,44.117,0.9631
normal_acceleration,ink_bottom,44.735,0.9631
normal_acceleration,ink_top,44.735,0.9631
normal_acceleration,ink_bottom,45.353,0.9477
normal_acceleration,ink_top,45.353,0.9631
normal_acceleration,ink_bottom,45.972,0.9477
normal_acceleration,ink_top,45.972,0.9631
normal_acceleration,ink_bottom,46.590,0.9477
normal_acceleration,ink_top,46.590,0.9631
normal_acceleration,ink_bottom,47.208,0.9477
normal_acceleration,ink_top,47.208,0.9631
