coefficient,altitude_kft,q_psf,value,mach
CNalpha,0.0,86.754,5.005476,0.242029
CNalpha,0.0,135.11,5.67618,0.302041
CNalpha,0.0,211.66,5.461159,0.378044
CNalpha,0.0,305.33,5.402712,0.454054
CNalpha,0.0,414.54,5.429761,0.529061
CNalpha,10.0,86.283,5.071273,0.291061
CNalpha,10.0,134.26,5.662014,0.363074
CNalpha,10.0,208.17,5.401875,0.452097
CNalpha,10.0,298.22,5.600237,0.541116
CNalpha,10.0,403.13,5.728716,0.629136
CNalpha,20.0,85.377,5.23456,0.354185
CNalpha,20.0,131.9,5.653277,0.440233
CNalpha,20.0,203.85,5.668183,0.547287
CNalpha,20.0,288.73,5.946638,0.651337
CNalpha,20.0,387.33,6.438153,0.754398
CNalpha,30.0,94.487,5.209306,0.463511
CNalpha,30.0,129.0,5.71318,0.541587
CNalpha,30.0,196.68,5.51685,0.668735
CNalpha,30.0,275.78,6.963562,0.791872
CNalpha,30.0,318.45,6.834061,0.850931
CNalpha,40.0,113.07,4.847166,0.642262
CNalpha,40.0,136.0,6.008908,0.704381
CNalpha,40.0,160.63,7.437156,0.765511
CNalpha,40.0,186.39,7.433663,0.824612
CNq,0.0,86.754,8.517083,0.242029
CNq,0.0,135.11,7.813975,0.302041
CNq,0.0,211.66,7.482567,0.378044
CNq,0.0,305.33,3.699813,0.454054
CNq,0.0,414.54,3.629151,0.529061
CNq,10.0,86.283,8.515593,0.291061
CNq,10.0,134.26,7.795346,0.363074
CNq,10.0,208.17,4.029572,0.452097
CNq,10.0,298.22,3.866358,0.541116
CNq,10.0,403.13,3.92014,0.629136
CNq,20.0,85.377,8.536046,0.354185
CNq,20.0,131.9,7.789162,0.440233
CNq,20.0,203.85,4.260381,0.547287
CNq,20.0,288.73,4.24293,0.651337
CNq,20.0,387.33,4.615157,0.754398
CNq,30.0,94.487,4.394943,0.463511
CNq,30.0,129.0,4.530174,0.541587
CNq,30.0,196.68,7.601191,0.668735
CNq,30.0,275.78,5.548585,0.791872
CNq,30.0,318.45,6.749557,0.850931
CNq,40.0,113.07,5.213272,0.642262
CNq,40.0,136.0,4.8173,0.704381
CNq,40.0,160.63,5.704343,0.765511
CNq,40.0,186.39,6.928187,0.824612
CNdelta,0.0,86.754,0.543531,0.242029
CNdelta,0.0,135.11,0.529575,0.302041
CNdelta,0.0,211.66,0.480435,0.378044
CNdelta,0.0,305.33,0.43812,0.454054
CNdelta,0.0,414.54,0.380125,0.529061
CNdelta,10.0,86.283,0.542317,0.291061
CNdelta,10.0,134.26,0.528598,0.363074
CNdelta,10.0,208.17,0.49035,0.452097
CNdelta,10.0,298.22,0.441767,0.541116
CNdelta,10.0,403.13,0.382898,0.629136
CNdelta,20.0,85.377,0.54091,0.354185
CNdelta,20.0,131.9,0.529504,0.440233
CNdelta,20.0,203.85,0.498675,0.547287
CNdelta,20.0,288.73,0.452234,0.651337
CNdelta,20.0,387.33,0.407177,0.754398
CNdelta,30.0,94.487,0.512749,0.463511
CNdelta,30.0,129.0,0.540988,0.541587
CNdelta,30.0,196.68,0.354756,0.668735
CNdelta,30.0,275.78,0.499779,0.791872
CNdelta,30.0,318.45,0.466161,0.850931
CNdelta,40.0,113.07,0.535557,0.642262
CNdelta,40.0,136.0,0.567996,0.704381
CNdelta,40.0,160.63,0.58422,0.765511
CNdelta,40.0,186.39,0.584043,0.824612
