panel,curve,x_kft,value
vertical,model,-24.0025,12.3653
vertical,model,-23.9367,12.3653
vertical,model,-23.8709,12.3653
vertical,model,-23.8051,12.3653
vertical,model,-23.7393,12.3653
vertical,model,-23.6734,12.3653
vertical,model,-23.6076,12.3653
vertical,model,-23.5418,12.3653
vertical,model,-23.4760,12.3653
vertical,model,-23.4102,12.7685
vertical,model,-23.3444,11.5589
vertical,model,-23.2785,11.1557
vertical,model,-23.2127,10.7525
vertical,model,-23.1469,10.7525
vertical,model,-23.0811,11.1557
vertical,model,-23.0153,11.1557
vertical,model,-22.9495,12.7685
vertical,model,-22.8836,13.1718
vertical,model,-22.8178,13.1718
vertical,model,-22.7520,10.7525
vertical,model,-22.6862,10.7525
vertical,model,-22.6204,10.7525
vertical,model,-22.5545,10.7525
vertical,model,-22.4887,10.7525
vertical,model,-22.4229,11.7605
vertical,model,-22.3571,13.9782
vertical,model,-22.2913,13.9782
vertical,model,-22.2255,13.9782
vertical,model,-22.1596,14.3814
vertical,model,-22.0938,14.7846
vertical,model,-22.0280,14.7846
vertical,model,-21.9622,14.7846
vertical,model,-21.8964,14.7846
vertical,model,-21.8306,14.7846
vertical,model,-21.7647,14.7846
vertical,model,-21.6989,14.7846
vertical,model,-21.6331,14.7846
vertical,model,-21.5673,14.7846
vertical,model,-21.5015,14.7846
vertical,model,-21.4356,14.7846
vertical,model,-21.3698,14.7846
vertical,model,-21.3040,14.7846
vertical,model,-21.2382,14.7846
vertical,model,-21.1724,14.7846
vertical,model,-21.1066,14.7846
vertical,model,-21.0407,14.7846
vertical,model,-20.9749,14.7846
vertical,model,-20.9091,15.5911
vertical,model,-20.8433,15.1878
vertical,model,-20.7775,15.5911
vertical,model,-20.7117,15.5911
vertical,model,-20.6458,15.5911
vertical,model,-20.5800,15.5911
vertical,model,-20.5142,15.5911
vertical,model,-20.4484,15.5911
vertical,model,-20.3826,15.5911
vertical,model,-20.3167,15.5911
vertical,model,-20.2509,15.5911
vertical,model,-20.1851,15.9943
vertical,model,-20.1193,15.9943
vertical,model,-20.0535,15.9943
vertical,model,-19.9877,15.9943
vertical,model,-19.9218,16.3975
vertical,model,-19.8560,16.3975
vertical,model,-19.7902,15.0086
vertical,model,-19.7244,14.3814
vertical,model,-19.6586,13.9782
vertical,model,-19.5927,13.9782
vertical,model,-19.5269,13.9782
vertical,model,-19.4611,14.3814
vertical,model,-19.3953,14.7846
vertical,model,-19.3295,16.3975
vertical,model,-19.2637,16.3975
vertical,model,-19.1978,15.1878
vertical,model,-19.1320,14.7846
vertical,model,-19.0662,15.1878
vertical,model,-19.0004,14.7846
vertical,model,-18.9346,15.1878
vertical,model,-18.8688,15.1878
vertical,model,-18.8029,16.8007
vertical,model,-18.7371,17.2039
vertical,model,-18.6713,17.2039
vertical,model,-18.6055,17.2039
vertical,model,-18.5397,17.2039
vertical,model,-18.4738,17.2039
vertical,model,-18.4080,15.9943
vertical,model,-18.3422,15.5911
vertical,model,-18.2764,15.5911
vertical,model,-18.2106,15.5911
vertical,model,-18.1448,15.9943
vertical,model,-18.0789,16.3975
vertical,model,-18.0131,17.2039
vertical,model,-17.9473,18.0104
vertical,model,-17.8815,18.0104
vertical,model,-17.8157,18.0104
vertical,model,-17.7499,18.0104
vertical,model,-17.6840,18.0104
