sigma_u_ms,sigma_w_ms
2.5666,2.9368
6.1437,8.6230
3.6406,3.3984
1.6650,2.2257
2.2171,2.4809
2.7974,6.8289
4.6006,5.8666
3.5511,7.5925
3.1252,2.5530
3.0395,3.2134
2.5195,3.4530
2.2529,4.0510
3.0583,4.5069
2.1596,4.6257
3.0611,4.1484
3.4380,2.5900
1.8920,2.6290
2.5562,2.7536
2.5119,3.9906
2.7013,4.5263
4.8587,4.3004
3.6321,5.9698
5.8705,6.0361
3.4541,4.5478
3.1893,3.9244
3.7452,4.4348
4.0900,7.3549
1.7291,4.6530
3.5162,4.4075
1.7093,4.1523
3.8008,6.0399
2.4639,4.3705
1.9457,3.2971
2.0729,2.9368
2.9321,4.1250
2.3000,3.7627
3.0206,4.7406
2.8106,4.7114
3.9666,5.9971
1.9457,3.2971
3.9967,4.1056
7.5954,2.9932
6.1597,4.3101
3.5294,2.8686
2.7748,2.4264
2.3678,2.7303
3.3174,3.0303
4.0523,3.7315
6.9793,6.7412
3.2015,3.1725
4.0570,4.6861
3.3174,2.1400
3.2722,2.6991
2.2302,2.8744
2.9848,3.4958
3.5426,5.6231
3.7292,3.8543
3.2646,5.5802
2.6909,3.3010
3.1318,3.2270
3.1412,3.3010
2.7851,2.2491
2.9311,4.4309
3.2204,6.8971
3.8036,4.7601
4.4329,5.1088
3.1346,3.8601
2.7587,4.1095
3.1233,3.8114
2.5722,3.7199
4.3811,5.8179
3.1450,3.8426
2.5063,2.9231
5.2704,4.6841
2.4460,3.0147
3.3654,4.7211
2.7738,5.5081
5.4955,7.8049
