event,altitude_kft_raw,altitude_kft_first,altitude_kft_last,weight_klb,tas_ms,sigma_dn_g,dn_max_g,dn_min_g,wind_up_ms,wind_down_ms,reflectivity_dbz,long_pulse
190-04,24,24.0,24.0,184.5,215.0,0.28,0.58,-0.8,12.15,-6.5,16.0,False
190-06,24,24.0,24.0,183.2,217.0,0.35,0.71,-1.24,11.18,-6.23,16.0,False
191-03,33,33.0,33.0,179.8,234.0,0.34,1.0,-0.9,9.32,-15.04,20.0,False
191-06,33,33.0,33.0,177.8,236.0,0.44,0.87,-1.4,18.41,-14.91,28.0,False
227-10,23,23.0,23.0,171.3,210.0,0.22,0.37,-0.53,6.74,-2.57,18.0,True
228-04,27,27.0,27.0,182.3,225.0,0.41,0.63,-0.8,23.42,-4.41,10.0,False
228-06,25,25.0,25.0,181.1,215.0,0.26,0.66,-0.53,8.79,-10.28,30.0,False
228-09,25,25.0,25.0,179.6,216.0,0.21,0.47,-0.61,8.45,-4.69,19.0,False
228-10,25,25.0,25.0,178.6,215.0,0.33,0.56,-0.78,15.69,-5.28,32.0,False
228-11,25,25.0,25.0,177.7,215.0,0.32,0.65,-0.71,18.7,-2.2,30.0,False
228-12,25,25.0,25.0,176.7,214.0,0.4,0.7,-1.2,23.25,-4.59,30.0,False
229-05,25,25.0,25.0,179.4,219.0,0.23,0.51,-0.5,11.25,-7.15,32.0,False
230-02,16,16.0,16.0,192.0,192.0,0.25,0.4,-0.65,10.62,-6.42,10.0,False
230-04,15,15.0,15.0,188.8,186.0,0.29,0.63,-0.52,7.6,-10.98,8.0,False
230-06,15,15.0,15.0,187.8,185.0,0.35,0.92,-0.65,10.8,-12.97,0.0,False
230-08,15,15.0,15.0,187.6,187.0,0.24,0.63,-0.61,6.84,-12.98,8.0,False
230-10,17,17.0,17.0,186.8,193.0,0.27,0.95,-0.64,7.49,-9.44,32.0,False
230-12,17,17.0,17.0,186.4,193.0,0.3,0.73,-0.67,8.52,-11.72,21.0,False
230-15,24,24.0,24.0,183.4,213.0,0.34,0.86,-0.74,11.02,-7.09,20.0,False
230-19,24,24.0,24.0,181.5,213.0,0.37,1.02,-1.07,11.17,-12.03,28.0,False
230-20,24,24.0,24.0,180.9,214.0,0.33,0.71,-1.01,20.71,-4.62,32.0,False
230-21,24,24.0,24.0,180.4,212.0,0.35,0.65,-0.92,16.25,-6.07,22.0,False
230-23,24,24.0,24.0,179.3,211.0,0.42,0.79,-0.96,20.37,-14.94,40.0,False
230-24,24,24.0,24.0,178.8,212.0,0.24,0.47,-0.69,13.64,-4.73,16.0,False
231-04,27,27.0,27.0,186.5,225.0,0.24,0.61,-0.43,5.84,-5.75,24.0,False
231-08,27,27.0,27.0,184.9,224.0,0.24,0.58,-0.59,17.1,-3.51,32.0,False
231-10,27,27.0,27.0,184.1,224.0,0.25,0.61,-0.84,15.21,-3.39,22.0,False
231-12,31,31.0,31.0,180.7,237.0,0.24,0.58,-0.5,9.4,-5.84,16.0,False
232-03,31,31.0,31.0,182.9,238.0,0.3,0.69,-0.87,16.27,-8.14,20.0,False
232-04,31,31.0,31.0,182.1,238.0,0.31,0.91,-0.63,8.53,-8.71,6.0,False
232-05,31 to 35,31.0,35.0,181.2,227.0,0.26,0.67,-0.58,7.77,-8.31,4.0,False
232-06,35,35.0,35.0,179.5,236.0,0.27,0.62,-0.69,5.99,-12.72,2.0,False
232-08,35,35.0,35.0,178.6,235.0,0.27,0.82,-0.53,7.86,-8.83,8.0,False
232-10,35,35.0,35.0,177.3,235.0,0.45,1.24,-1.17,14.63,-21.42,22.0,False
233-01,28,28.0,28.0,188.3,227.0,0.32,1.29,-0.61,15.88,-7.6,22.0,False
233-04,17,17.0,17.0,176.9,194.0,0.23,0.48,-0.56,5.11,-5.67,4.0,False
233-05,17,17.0,17.0,176.5,194.0,0.23,0.56,-0.53,6.0,-3.13,10.0,False
233-06,17,17.0,17.0,175.9,195.0,0.25,0.57,-0.65,4.79,-7.73,18.0,False
233-07,17,17.0,17.0,174.9,193.0,0.39,0.89,-0.65,11.73,-7.1,22.0,False
233-09,17,17.0,17.0,172.7,194.0,0.24,0.58,-0.55,10.43,-5.92,16.0,False
234-05,25,25.0,25.0,180.0,219.0,0.2,0.76,-0.34,5.8,-3.16,13.0,False
234-06,25,25.0,25.0,179.0,218.0,0.43,1.27,-1.12,14.43,-9.36,22.0,False
234-09,25,25.0,25.0,175.4,219.0,0.29,0.65,-0.65,9.34,-7.17,16.0,False
234-11,25,25.0,25.0,174.1,220.0,0.34,0.97,-0.89,12.38,-8.86,24.0,False
234-12,25,25.0,25.0,173.5,218.0,0.34,0.86,-0.9,12.54,-7.71,22.0,False
235-02,26,26.0,26.0,179.6,224.0,0.23,0.43,-0.5,8.45,-4.33,22.0,False
235-03,24,24.0,24.0,178.7,216.0,0.36,0.81,-0.85,17.76,-7.39,32.0,False
235-05,22 to 19,22.0,19.0,170.9,204.0,0.22,0.45,-0.39,11.07,-4.88,2.0,True
235-07,19,19.0,19.0,169.4,201.0,0.22,0.46,-0.62,8.27,-3.04,24.0,True
235-08,19,19.0,19.0,168.4,201.0,0.37,0.84,-1.14,14.18,-6.08,8.0,True
235-09,19,19.0,19.0,167.7,200.0,0.23,0.51,-0.41,2.77,-10.99,8.0,True
240-03,29,29.0,29.0,181.7,235.0,0.39,0.96,-1.06,14.98,-2.35,4.0,False
240-09,25,25.0,25.0,179.4,218.0,0.49,1.3,-1.07,22.13,-2.09,32.0,False
