old                                      new
01d7502c268c865b1f840a8d8cd9408f3d31d125 80d54142e9e862eac4d45eb9a2dc34edbf7ee7c2
02a976aa2b4830b4f8d36c630a0c6bd2069e7db6 bb55df07e9c9bb17cf9dac7ae344541c39d11645
02d977262902f4e8ec809148968952ba1c352f9e cecd8b7fe4c4cbf553a7eb24f0551f7d7ce22b49
02f6be657c7e80718ad3a88412dfe8a6861cf893 d8d3e65b4ee4c7dd0c9823355de0ebab6a0a4fa1
03403ab4a9e903d50986a84530d6fab854d1c9f0 2cc64118d06d32b2731be484b980083beb4e5620
0458ef644cd747d75d24e26c8245f08e33cd96fc 8fb3a71b6eef193b74eb57c35f15622d4914d091
04f9adae0aaa01cb7b4df736d48c482896102db5 5cdc13a63e4c892ac96fee606dbdd1eea2a75b87
06192d6741b50c0d6c55b936278ddfa74f6cda0f 4bf7ceea319755ba8f728c546fd429118cb56eee
0904f55a41777a537688f9a1bb336b11641d7fc2 39110a95b9cbda4683bd62d00c99c78e77405af2
0ab1d52058786fb1e75c1ba75fe2ed48186dd18a 63dd235a7ace997b61992ed4456deb49f3eced63
0bba3593512c9201fe98f272e49918f75972e0e4 ff8cd5a94ccffefb981a32fd7d96c3da8c8470e2
0cbc281ac04dc7c79bca74ae54cb21e47a6daffa 95c0fcd475662e7c788a6f09735e93f5bc381046
0d84eae2c5ac9cb4c58fbf16884273a546e2b977 12823bd47ba2e2794fc9a2e3cbb3f86166055831
0df7ec046dcd54df5d25b8a5044d820354eb9612 793acdd7a2af332f7b6199a793700c7a66727956
0e6c13c3781a41c2dad8f3db0ce01a8f561ae273 2119398b8aca73d91b433fab4538ea5d796cddee
0e904bb259f7656d95909be710efa2695ef8a9af 047bb65bd3f5a2e41c3a6405dabafa5189516014
0f090ad1e564ce574c8a7fb1b072033cead1ef9c 8aab7cba02724cd99158ddf4c25eb4fd862cb4ae
0fad30b7e1041a2351f4a31c2e8d5fdec884f475 8d8aa244bce6a5883c029fdce75903fd5755a538
105f68953b52dc41cad4d9701de055de1e0485c1 ca7e586232d0c4b65e924356672473ddd5af9b2d
10887d8cf3d3ec5cc45b347e2943a8bb819747b6 e18ad9d3a8de53dcda203c64af4f83b88f8bd515
1091fc7565278f589e3339d07553e2f5e366c71b 6d09f2e5e710145e8f5ec15b1b27a0527050c1bc
1112485d4e203414169f367c856914589d439f7e 22621c8f52eaaf5c35fb6d358760eae6fafd1df5
12064c4419b3f29919d285fabf86f09643a12bb8 16ab54c2ffd998169b43cbd881e44570a5db2195
123acceec82f2768191d1d4abe500cf0a1c2bcc9 a649db90f69a44130822c69fe9e88a3467f2e639
124cc4eb1147e3fe176172818994296500d1eb54 ff17e057af407c385565ffe1436c29ee3bc42691
148cbbf0fe1dae8d850bdbb53dede0eb133fc331 e587a586a68ab40c88f5989f86301bceb6267f76
15c49c0fe53a1e211b3b399a13ce22c4762575ba 0d48f4b600a2c0ae7d6527efbea1dc287761094e
16290bdafacfd00c57bfcde22d4b395b9b670043 307d128d8732534c3aa3e5799ab21c6da0a209ce
179a843352428ef9b0d9a47faeccaff8c9d3dff6 bcd363bb55a80c9f240cdeecd91e83ae4649d563
17b875f2c03ea54cc6eafc6e6e0d61755f20a503 87d2cc17096e701557aa370cda629ffae85488eb
1b27ffc294abc472a655879dc18c7dfdfa29e6e4 96a98dd06cc170f2a8901e10e75c7f56eb42ca21
1b994055244ddad556ce4e2510033e9217aa1a34 fdd4690d789dce76e510d3ca9c9296b9125063fd
1bd676688d1e150060ecb4a6197a69a45ce9036f e76c5592d68d8c0225ae5698212ef923bd210813
1e588603ac7bfce87ca8e2cf75f17cbb2f4c6fcd 5d688d5d50519c3ee73336bb8c1cb328933f148b
1fa078576ec2362a016a284fafb64547ec786036 19cd6b1fabf9681ff8810e9b08fdff524cb8aed3
20535028818a63697e45fe5898e7f0b7e810d5c5 ac6908fb34480c9a3096a08e6248e3e06084149a
20b6910138ef7e930ba960fa72bc24cf5317643e 13ca5b945ec5ac1f7d9f991e182a3ad8fe75102d
214980172bcd0069460f953d3baf2af5db61d293 7759f51a2bd4f01452eced6ff32fd400681e9e87
22015e9d26ac75c58fd2fe53847ea95dcb54e41b 2568f611560568a121a501e52af57764449eec25
2235faa154f0e64380baedbf00263a64e5ab82a6 585818ac653cb940001e63b9ae9b07b1a782bfaa
22d906b400862cc292d4eb10cf41ad8750df8373 cedb456403351ce026c82184c8241407ebba0cab
23226f84ec914d42d3201c27b6d168b7c0566039 715336bfad3a7c17059a793f124c462511386417
25763a9aaa3803e91d9204559fd3928211653f14 db9d7378f25ffdba529b745a97763e1269433df6
25f5342c852e343874c2d4378c400493c5fc43e9 9934c62931a5e7b60ed6a3bef986cf6313170e26
271c6d7b1a7fce0c476e4b64ea7a8638e828cead b342dabe6830cdbe03138e79007d47837c66aa16
28cc4abb9e081ebea4cf4e810872a2890f6174dc 5188a8e564186d692abaa64def1067612bf97c87
2924ad494033ee16cf68b5aec6ed3fbc19df6cbb 2924ad494033ee16cf68b5aec6ed3fbc19df6cbb
29a975bc968bab0e7eeeee9439f0de6b929c045e 679d9e594fe2eb930f68a85415432376ec6cacf8
2acd1a4984171925b472f5be80b25358062d5961 0d40d196e8997808282719bc93e65a412eed85bb
2d1da085b5f1d712f3aec96cf41503dc089ebf05 2c0815dcd9145a1d6863b0681c9288f02a1f568f
2d484d50366092dd7b1ea92ec941e65dc3745ad2 3fd0f1405b67911103bc2673af379dac6864f4cc
2dd48fe990039fa3feed6b30f4a60dc5b0bb7857 2dd48fe990039fa3feed6b30f4a60dc5b0bb7857
2e93a6513a755841eca7b3530cde839ca33cb273 44b531aae7d77b34a92effd548c74ddf6ce373ec
2ec86fa67e3745b4b3686d514f244f5b08a20bb6 e7517351751b69652ba22cc6cf86d0d3131f382b
2effc27924e72483bb1c43806533a9d209b88262 59a82f36810aea9f1f2ea57813d1e9a41bfbce89
2f6d0adaf77b1e0e0387ae6f420d0e978da47e7a 0015a147afa0e7e062114d65d437c86f10fb4921
302621ec0cf80834e4faa85ee0964254eda2ec37 b0cf03a349f22ba384243168e48c95e0c32ba5a4
31abd81abaa1f24481b67cb20caf951eea078fe9 d96d0ea5606ec028d03c067ebca7429fe2fac5e9
33529ee7ffcda75a00e1ddcfe89274b5bf3ccb14 5d9b582cfa7282535e701e3ca8db2ca3ea04363f
33f6099636ab54eda54da20978196dacee205d17 33f6099636ab54eda54da20978196dacee205d17
